year,age,sex,enrolment_primary
2008,10 YRS,MF,48006
2008,10 YRS,F,23159
2008,11 YRS,MF,49360
2008,11 YRS,F,23775
2008,12 YRS,MF,2854
2008,12 YRS,F,1290
2008,13 YRS,MF,1248
2008,13 YRS,F,599
2008,14 YRS & OVER,MF,422
2008,14 YRS & OVER,F,171
2008,7 YRS,MF,47538
2008,7 YRS,F,22814
2008,8 YRS,MF,44138
2008,8 YRS,F,21113
2008,9 YRS,MF,44158
2008,9 YRS,F,21345
2008,UNDER 7 YRS,MF,41548
2008,UNDER 7 YRS,F,20140
2009,10 YRS,MF,44189
2009,10 YRS,F,21390
2009,11 YRS,MF,47917
2009,11 YRS,F,23121
2009,12 YRS,MF,3138
2009,12 YRS,F,1457
2009,13 YRS,MF,1041
2009,13 YRS,F,486
2009,14 YRS & OVER,MF,425
2009,14 YRS & OVER,F,192
2009,7 YRS,MF,42147
2009,7 YRS,F,20434
2009,8 YRS,MF,47851
2009,8 YRS,F,22956
2009,9 YRS,MF,44274
2009,9 YRS,F,21178
2009,UNDER 7 YRS,MF,41272
2009,UNDER 7 YRS,F,20112
2010,10 YRS,MF,44376
2010,10 YRS,F,21239
2010,11 YRS,MF,44094
2010,11 YRS,F,21356
2010,12 YRS,MF,3204
2010,12 YRS,F,1481
2010,13 YRS,MF,1062
2010,13 YRS,F,502
2010,14 YRS & OVER,MF,366
2010,14 YRS & OVER,F,164
2010,7 YRS,MF,41785
2010,7 YRS,F,20346
2010,8 YRS,MF,42395
2010,8 YRS,F,20549
2010,9 YRS,MF,47990
2010,9 YRS,F,23039
2010,UNDER 7 YRS,MF,38634
2010,UNDER 7 YRS,F,18861
2011,10 YRS,MF,48045
2011,10 YRS,F,23063
2011,11 YRS,MF,44211
2011,11 YRS,F,21163
2011,12 YRS,MF,2917
2011,12 YRS,F,1340
2011,13 YRS,MF,1021
2011,13 YRS,F,481
2011,14 YRS & OVER,MF,242
2011,14 YRS & OVER,F,117
2011,7 YRS,MF,38944
2011,7 YRS,F,18992
2011,8 YRS,MF,41833
2011,8 YRS,F,20366
2011,9 YRS,MF,42440
2011,9 YRS,F,20571
2011,UNDER 7 YRS,MF,38640
2011,UNDER 7 YRS,F,18718
2012,10 YRS,MF,42436
2012,10 YRS,F,20567
2012,11 YRS,MF,47889
2012,11 YRS,F,22999
2012,12 YRS,MF,2620
2012,12 YRS,F,1144
2012,13 YRS,MF,781
2012,13 YRS,F,339
2012,14 YRS & OVER,MF,161
2012,14 YRS & OVER,F,61
2012,7 YRS,MF,38975
2012,7 YRS,F,18862
2012,8 YRS,MF,39020
2012,8 YRS,F,19036
2012,9 YRS,MF,41901
2012,9 YRS,F,20410
2012,UNDER 7 YRS,MF,38952
2012,UNDER 7 YRS,F,19036
2013,10 YRS,MF,41743
2013,10 YRS,F,20339
2013,11 YRS,MF,42167
2013,11 YRS,F,20442
2013,12 YRS,MF,2601
2013,12 YRS,F,1149
2013,13 YRS,MF,741
2013,13 YRS,F,315
2013,14 YRS & OVER,MF,119
2013,14 YRS & OVER,F,41
2013,7 YRS,MF,39157
2013,7 YRS,F,19115
2013,8 YRS,MF,38968
2013,8 YRS,F,18874
2013,9 YRS,MF,38973
2013,9 YRS,F,19023
2013,UNDER 7 YRS,MF,39576
2013,UNDER 7 YRS,F,19324
2014,10 YRS,MF,38840
2014,10 YRS,F,18956
2014,11 YRS,MF,41505
2014,11 YRS,F,20216
2014,12 YRS,MF,2217
2014,12 YRS,F,1009
2014,13 YRS,MF,654
2014,13 YRS,F,296
2014,14 YRS & OVER,MF,60
2014,14 YRS & OVER,F,24
2014,7 YRS,MF,39879
2014,7 YRS,F,19433
2014,8 YRS,MF,39131
2014,8 YRS,F,19088
2014,9 YRS,MF,38953
2014,9 YRS,F,18904
2014,UNDER 7 YRS,MF,40444
2014,UNDER 7 YRS,F,19777
2015,10 YRS,MF,38931
2015,10 YRS,F,18904
2015,11 YRS,MF,38632
2015,11 YRS,F,18846
2015,12 YRS,MF,1928
2015,12 YRS,F,860
2015,13 YRS,MF,466
2015,13 YRS,F,207
2015,14 YRS & OVER,MF,41
2015,14 YRS & OVER,F,13
2015,7 YRS,MF,40538
2015,7 YRS,F,19811
2015,8 YRS,MF,39765
2015,8 YRS,F,19381
2015,9 YRS,MF,39081
2015,9 YRS,F,19088
2015,UNDER 7 YRS,MF,39720
2015,UNDER 7 YRS,F,19498
2016,10 YRS,MF,38949
2016,10 YRS,F,19000
2016,11 YRS,MF,38710
2016,11 YRS,F,18796
2016,12 YRS,MF,1453
2016,12 YRS,F,653
2016,13 YRS,MF,351
2016,13 YRS,F,160
2016,14 YRS & OVER,MF,41
2016,14 YRS & OVER,F,22
2016,7 YRS,MF,40013
2016,7 YRS,F,19584
2016,8 YRS,MF,40487
